,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
A.D.M. (After Dinner Mint),White Creme de Menthe,1/2 oz ,Southern Comfort,3/4 oz ,Vodka,1/2 oz ,Hot chocolate,Fill with ,, ,, ,, ,, ,, ,,,,,,,,,,,,
501 Blue,Blue Curacao,"
",Blueberry schnapps,"
",Vodka,"
",Sour mix,"
",7-Up,"
",,"
",,"
",,"
",,,,,,,,,,,,,,
Flaming Dr. Pepper,Amaretto,1 oz ,Vodka,1 oz ,151 proof rum,1 oz Bacardi ,Dr. Pepper,1 oz ,Beer,1 oz ,, ,, ,, ,, ,, ,,,,,,,,,,
Absolutely Cranberry Smash,Absolut Vodka,2 oz ,Cranberry juice,4 oz ,Ginger ale,2 oz ,Ice,Add ,, ,, ,, ,, ,, ,,,,,,,,,,,,
Foxy Lady,Amaretto,1/2 oz ,Creme de Cacao,1/2 oz ,Light cream,2 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
Absolut limousine,Absolut Citron,2/3 ,Lime juice,1/3 ,Ice,Fill with ,Tonic water,Top it up with ,, ,, ,, ,, ,, ,,,,,,,,,,,,
English Rose Cocktail,Apricot brandy,3/4 oz ,Gin,1 1/2 oz ,Dry Vermouth,3/4 oz ,Grenadine,1 tsp ,Lemon juice,1/4 tsp ,Cherry,1 ,, ,, ,, ,, ,, ,,,,,,,,
Grass Skirt,Gin,1 1/2 oz ,Triple sec,1 oz ,Pineapple juice,1 oz ,Grenadine,1/2 tsp ,Pineapple,1 ,, ,, ,, ,, ,, ,,,,,,,,,,
Bloody Maria,Tequila,1 oz ,Tomato juice,2 oz ,Lemon juice,1 dash ,Tabasco sauce,1 dash ,Celery salt,1 dash ,Lemon,1 slice ,, ,, ,, ,, ,, ,,,,,,,,
Bubble Gum,Vodka,1/4 ,Banana liqueur,1/4 ,Orange juice,1/4 ,Peach schnapps,1/4 ,, ,, ,, ,, ,, ,,,,,,,,,,,,
Lord And Lady,Dark rum,1 1/2 oz ,Tia maria,1/2 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
Apple Cider Punch #1,Apple cider,4 qt ,Brown sugar,1 cup ,Lemonade,6 oz frozen ,Orange juice,6 oz frozen ,Cloves,6 whole ,Allspice,6 whole ,Nutmeg,1 tsp ground ,Cinnamon,3 sticks ,, ,, ,, ,, ,, ,,,,
Texas Sling,Kahlua,1/2 oz ,Irish cream,1/2 oz ,Amaretto,1/2 oz ,151 proof rum,1/2 oz Bacardi ,Cream,1 oz ,, ,, ,, ,, ,, ,,,,,,,,,,
A midsummernight dream,Vodka,2 oz ,Kirschwasser,1 oz ,Strawberry liqueur,1 tsp ,Strawberries,5 ,Schweppes Russchian,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,
Dark and Stormy,Dark Rum,5 cl,Ginger Beer,10 cl,,,,,,,, ,, ,,,,,,,,,,,,,,,,
Owen's Grandmother's Revenge,Whiskey,12 oz ,Beer,12 oz ,Lemonade,12 oz frozen ,Ice,1 cup crushed ,, ,, ,, ,, ,, ,,,,,,,,,,,,
Sweet Sangria,Red wine,2 bottles ,Sugar,1 cup ,Water,2 cups hot ,Apple,1 cup ,Orange," wedges
",Lime," wedges
",Lemon,"
",Fresca,"
",,"
",,"
",,"
",,"
",,,,,,
Cosmopolitan,Absolut Citron,1 1/4 oz ,Lime juice,1/4 oz ,Cointreau,1/4 oz ,Cranberry juice,1/4 cup ,, ,, ,, ,, ,, ,,,,,,,,,,,,
Hunter's Moon,Vermouth,25 ml,Maraschino Cherry,15 ml,Sugar Syrup,10 ml,Lemonade,100 ml,Blackberries,2,,,,,,,,,,,,,,,,,,,,
Cherry Electric Lemonade,Gin,1 oz,Tequila,1 oz,Vodka,1 oz,White rum,1 oz,Triple Sec,1 oz,Cherry Grenadine,1 oz,Sweet and sour,1 oz,Club soda,3 oz,,,,,,,,,,,,,,
Lemon Drop,Absolut Vodka,1 1/2 shot ,Cointreau,1 1/2 shot ,Lemon,Juice of 1 wedge ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
New York Lemonade,Absolut Citron,2 oz ,Grand Marnier,1 oz ,Lemon juice,2 oz sweetened ,Club soda,1 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,
Pina Colada,Light rum,3 oz ,Coconut milk,3 tblsp ,Pineapple,3 tblsp ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
Flander's Flake-Out,Sambuca,1/4 glass ,Sarsaparilla,3/4 glass ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
Sea breeze,Vodka,1 1/2 oz ,Cranberry juice,4 oz ,Grapefruit juice,1 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
Orange Whip,Orange juice,4 oz ,Rum,1 oz ,Vodka,1 oz ,Cream,1 package ,Ice,Over ,, ,, ,, ,, ,, ,,,,,,,,,,
Lassi - Sweet,Yoghurt,1 cup ,Water,2 cups cold ,Sugar,4 tblsp ,Salt,pinch ,Lemon juice,2 tblsp ,, ,, ,, ,, ,, ,,,,,,,,,,
Rum Sour,Light rum,2 oz ,Lemon juice,1 oz ,Sugar,1/2 tsp superfine ,Orange,1 ,Maraschino cherry,1 ,, ,, ,, ,, ,, ,,,,,,,,,,
Moscow Mule,Vodka,2 oz ,Lime juice,2 oz ,Ginger ale,8 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
Screwdriver,Vodka,2 oz ,Orange juice,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rosemary Blue,Gin,50 ml,Blue Curacao,15 ml,Tonic Water,100 ml,Rosemary,Garnish with,,,,,,,,,,,,,,,,,,,,,,
Almond Joy,Amaretto,1/2 oz ,Creme de Cacao,1/2 oz white ,Light cream,2 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
Avalon,Vodka,3 parts,Pisang Ambon,1 part ,Apple juice,6 parts ,Lemon juice,1 1/2 part ,Lemonade,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,
The Jimmy Conway,Irish Whiskey,50 ml,Amaretto,50 ml,Cranberry Juice,4 oz,,,,,,,,,,,,,,,,,,,,,,,,
Kool-Aid Shot,Vodka,1 shot ,Amaretto,1 shot ,Sloe gin,1 shot ,Triple sec,1 shot ,Cranberry juice,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,
Kiwi Lemon,Kiwi liqueur,1 part ,Bitter lemon,2 parts ,Ice," cubes
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,,,
Absolut Evergreen,Absolut Citron,2/3 part ,Pisang Ambon,1/3 part ,Ice," cubes
",Bitter lemon,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,
Iced Coffee,Coffee,1/4 cup instant ,Sugar,1/4 cup ,Water,1/4 cup hot ,Milk,4 cups cold ,, ,, ,, ,, ,, ,,,,,,,,,,,,
"French ""75""",Gin,1 1/2 oz ,Sugar,2 tsp superfine ,Lemon juice,1 1/2 oz ,Champagne,4 oz Chilled ,Orange,1 ,Maraschino cherry,1 ,, ,, ,, ,, ,, ,,,,,,,,
Spanish chocolate,Milk,2 cups ,Chocolate,2 oz sweet ,Cinnamon,1/2 tsp ,Egg yolk,2 beaten ,, ,, ,, ,, ,, ,,,,,,,,,,,,
Wine Cooler,Red wine,2 oz white or ,Lemon-lime soda,5 oz ,Ice," cubes
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,,,
Scooter,Brandy,1 oz ,Amaretto,1 oz ,Light cream,1 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
Quick F**K,Kahlua,1 part ,Midori melon liqueur,1 part ,Bailey's irish cream,1 part ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
Vodka Fizz,Vodka,2 oz ,Half-and-half,2 oz ,Limeade,2 oz ,Ice,"
",Nutmeg,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,
Long vodka,Vodka,5 cl ,Lime,1/2 ,Angostura bitters,4 dashes ,Tonic water,1 dl Schweppes ,Ice,4 ,, ,, ,, ,, ,, ,,,,,,,,,,
Kurant Tea,Absolut Kurant,4 cl ,Tea,Turkish apple ,Sugar," (if needed)
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,,,
Tia-Maria,Water,1 cup ,Brown sugar,3/4-1 cup ,Coffee,4 tsp ,Rum,1 cup ,Vanilla extract,4 tsp ,, ,, ,, ,, ,, ,,,,,,,,,,
White Russian,Vodka,2 oz ,Coffee liqueur,1 oz ,Light cream,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,,,
Irish Spring,Irish whiskey,1 oz ,Peach brandy,1/2 oz ,Orange juice,1 oz ,Sweet and sour,1 oz ,Orange,1 slice ,Cherry,1 ,, ,, ,, ,, ,, ,,,,,,,,
Mulled Wine,Water,3 cups ,Sugar,1 cup ,Cloves,12 ,Cinnamon,2 ,Lemon peel,1 ,Red wine,750 ml ,Brandy,1/4 cup ,, ,, ,, ,, ,, ,,,,,,
Pysch Vitamin Light,Orange juice,1 part ,Apple juice,1 part ,Pineapple juice,1 part ,Ice,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,
Paloma,Grape Soda,3 oz,Tequila,1 1/2 oz,,,,,,,,,,,,,,,,,,,,,,,,,,
The Laverstoke,Gin,50 ml,Elderflower cordial,15 ml,Rosso Vermouth,15 ml,Tonic Water,75 ml,Lime,2 Wedges,Ginger,1 Slice,Mint,1 Large Sprig,,,,,,,,,,,,,,,,
Boxcar,Gin,1 1/2 oz ,Triple sec,1 oz ,Lemon juice,1 tsp ,Grenadine,1/2 tsp ,Egg white,1 ,, ,, ,, ,, ,, ,,,,,,,,,,
Tequila Fizz,Tequila,2 oz ,Lemon juice,1 tblsp ,Grenadine,3/4 oz ,Egg white,1 ,Ginger ale,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,
Sunny Holiday Punch,Pineapple juice,46 oz chilled ,Club soda,28 oz ,Orange juice,6 oz frozen ,Lemon,1 ,Berries,2 cups ,Champagne,1 bottle ,, ,, ,, ,, ,, ,,,,,,,,
Sidecar,Cognac,2 oz ,Cointreau,1/2 oz ,Lemon juice,1 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
Black Russian,Coffee liqueur,3/4 oz ,Vodka,1 1/2 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
Autodafé,Vodka,4 cl ,Lime juice,1 dash ,Soda water,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,,,
Green Goblin,Cider,1/2 pint hard ,Lager,1/2 pint ,Blue Curacao,1 shot ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
Kill the cold Smoothie,Ginger,1 inch ,Lemon,1/4 ,Water,1 cup hot ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
Brigadier,Hot Chocolate,4 oz,Green Chartreuse,1 oz,Cherry Heering,1 oz,,,,,,,,,,,,,,,,,,,,,,,,
John Collins,Bourbon,2 oz ,Lemon juice,1 oz ,Sugar,1 tsp superfine ,Club soda,3 oz ,Maraschino cherry,1 ,Orange,1 ,, ,, ,, ,, ,, ,,,,,,,,
Tuxedo Cocktail,Dry Vermouth,1 1/2 oz ,Gin,1 1/2 oz ,Maraschino liqueur,1/4 tsp ,Anis,1/4 tsp ,Orange bitters,2 dashes ,Cherry,1 ,, ,, ,, ,, ,, ,,,,,,,,
Monkey Wrench,Light rum,1 1/2 oz ,Grapefruit juice,3 oz ,Bitters,1 dash ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
Pink Gin,Bitters,3 dashes ,Gin,2 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
Gin Squirt,Gin,1 1/2 oz ,Grenadine,1 tsp ,Powdered sugar,1 tblsp ,Pineapple,3 chunks ,Strawberries,2 ,Carbonated water,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,
Mudslinger,Southern Comfort,750 ml ,Orange juice,1 L ,Pepsi Cola,750 ml ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
Jello shots,Vodka,2 cups ,Jello,3 packages ,Water,3 cups ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
Apello,Orange juice,4 cl ,Grapefruit juice,3 cl ,Apple juice,1 cl ,Maraschino cherry,1 ,, ,, ,, ,, ,, ,,,,,,,,,,,,
A Day at the Beach,Coconut rum,1 oz ,Amaretto,1/2 oz ,Orange juice,4 oz ,Grenadine,1/2 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,
Dubonnet Cocktail,Dubonnet Rouge,1 1/2 oz ,Gin,3/4 oz ,Bitters,1 dash ,Lemon peel,1 twist of ,, ,, ,, ,, ,, ,,,,,,,,,,,,
Bramble,Gin,4 cl,lemon juice,1.5 cl,Sugar syrup,1 cl,Creme de Mure,1.5 cl,,,, ,, ,,,,,,,,,,,,,,,,
Veteran,Dark rum,2 oz ,Cherry brandy,1/2 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
Angelica Liqueur,Angelica root,3 tblsp chopped,Almond,1 tblsp chopped ,Allspice,1 cracked ,Cinnamon,1 one-inch ,Anise,3-6 crushed ,Coriander,1/8 tsp powdered ,Marjoram leaves,1 tblsp fresh chopped ,Vodka,1.5 cup ,Sugar,1/2 cup granulated ,Water,1/4 cup ,Food coloring,1 drop yellow ,Food coloring,1 drop green ,, ,, ,, 
Arthur Tompkins,Gin,2 oz ,Grand Marnier,1/2 oz ,Lemon juice,2 tsp ,Lemon peel,1 twist of ,, ,, ,, ,, ,, ,,,,,,,,,,,,
Margarita,Tequila,1 1/2 oz ,Triple sec,1/2 oz ,Lime juice,1 oz ,Salt,,,,,,,,,,,,,,,,,,,,,,,
Wine Punch,Red wine,1 bottle ,Lemon,2 ,Orange juice,1 cup ,Orange,3 ,Pineapple juice,1 cup ,, ,, ,, ,, ,, ,,,,,,,,,,
Alabama Slammer,Southern Comfort,1 oz ,Amaretto,1 oz ,Sloe gin,1/2 oz ,Lemon juice,1 dash ,, ,, ,, ,, ,, ,,,,,,,,,,,,
Boston Sour,Blended whiskey,2 oz ,Lemon,Juice of 1/2 ,Powdered sugar,1 tsp ,Egg white,1 ,Lemon,1 slice ,Cherry,1 ,, ,, ,, ,, ,, ,,,,,,,,
Derby,gin,6 cl,Peach Bitters,2 dashes,Mint,2 Fresh leaves,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
Ace,Gin,2 shots ,Grenadine,1/2 shot ,Heavy cream,1/2 shot ,Milk,1/2 shot ,Egg White,1/2 Fresh,,"
",,"
",,,,,,,,,,,,,,,,
Manhattan,Sweet Vermouth,3/4 oz ,Bourbon,2 1/2 oz Blended ,Angostura bitters,dash ,Ice,2 or 3 ,Maraschino cherry,1 ,Orange peel,1 twist of ,, ,, ,, ,, ,, ,,,,,,,,
Pink Panty Pulldowns,Sprite,1 L ,Pink lemonade,2 cups ,Vodka,2 cups ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
Lone Tree Cocktail,Sweet Vermouth,3/4 oz ,Gin,1 1/2 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
Royal Gin Fizz,Gin,2 oz ,Lemon,Juice of 1/2 ,Powdered sugar,1 tsp ,Egg,1 whole ,Carbonated water,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,
Kool First Aid,151 proof rum,2 oz light ,Kool-Aid,1/2 tsp Tropical ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
Thai Iced Coffee,Coffee,black,Sugar,"
",Cream," pods
",Cardamom,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,,,
Jamaica Kiss,Coffee liqueur,1 shot ,Light rum,1 shot Jamaican ,Ice," cubes
",Milk,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,
Greyhound,Vodka,1 1/2 oz,Grapefruit Juice,3 oz,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Island Iced Tea,Vodka,1/2 oz ,Tequila,1/2 oz ,Light rum,1/2 oz ,Gin,1/2 oz ,Coca-Cola,1 dash ,Lemon peel,Twist of ,, ,, ,, ,, ,, ,,,,,,,,
Arctic Fish,Vodka,1/3 part ,Grape soda,1/3 part ,Orange juice,1/3 part ,Ice,lots ,Candy,1 dash ,, ,, ,, ,, ,, ,,,,,,,,,,
Bahama Mama,Rum,3 parts,Dark Rum,1 part,Banana liqueur,1 part,Grenadine,1 part,Pineapple Juice,2 parts,Orange Juice,2 parts,Sweet and Sour,1 part,,,,,,,,,,,,,,,,
