,0,1,2,3,4,5,6,7,8,9,10,11,12,13
Pineapple-Hibiscus Cocktail,1 1/4 cups sugar,"1 pineapple, peeled, cut into 1 1/2-inch pieces",6 tablespoons distilled white vinegar,1/4 cup dried hibiscus flowers,"1 jalapeño, thinly sliced into rounds",5 sprigs mint,"1 lime, thinly sliced into wheels",2 cups tequila,1 cup fresh lime juice,,,,,
Gold Rush,2 ounces bourbon,3/4 ounce fresh lemon juice,3/4 ounce honey,,,,,,,,,,,
Aviation,2 ounces London dry gin,3/4 ounce fresh lemon juice,3/4 ounce maraschino liqueur (such as Luxardo),Maraschino cherry (for serving),,,,,,,,,,
Beer Americano,1 1/2 ounces Campari,"1 1/2 ounces sweet vermouth, preferably Carpano Antica Formula",3 ounces lager,"Orange zest, for garnish",,,,,,,,,,
Emerald Isle,3 cucumber slices,10 fresh tarragon leaves,1 1/2 ounces Dingle Irish pot still gin,1/2 ounce Bushmills Black Bush Irish whiskey,3/4 ounce Cocchi Americano aperitif,1 ounce grapefruit juice,,,,,,,,
Modern Bronx,1 1/2 ounces Beefeater London Dry Gin,1/2 ounce Cinzano Rosso sweet vermouth,1/2 ounce Noilly Prat extra dry vermouth,1 ounce fresh orange juice,Regans’ Orange Bitters No. 6 (optional),,,,,,,,,
Punch House Spritz,2 ounces Cocchi Americano,4 ounces Lini Lambrusco Rosato,1 ounce fresh grapefruit juice,1 ounce soda water,"1 grapefruit wheel, for garnish",,,,,,,,,
Tarocco Spritz,1 cup sugar,1 cup water,1 vanilla bean,1 ounce gin,1/2 ounce Cappelletti,3/4 ounce fresh blood orange juice,1/2 ounce fresh lemon juice,1/2  ounce vanilla syrup,2 ounces Prosecco,"1 blood orange wheel, for garnish",,,,
Gin Basil Smash,1 cup Demerara sugar,1 cup water,2 ounces gin (such as Beefeater),1 ounce fresh lemon juice,2/3 ounce simple syrup,Small bunch basil leaves (about 10),"Basil sprig, for garnish",,,,,,,
Claret Cup,3 ounces red wine,1/2 ounce sherry (preferably Amontillado) or sweet vermouth,1/2 ounce orange curaçao (or triple sec if you like it sweeter),1/2 ounce fresh lemon juice,2 ounces soda water,"Cucumber slices, for garnish","Orange slices, for garnish",,,,,,,
Three Dots and a Dash,1 1/2 cups honey,1 1/2 cups water,1/2 ounce fresh lime juice,1/2 ounce fresh orange juice,1/2 ounce SC honey syrup,1/4 ounce John D. Taylor's Velvet Falernum,1/4 ounce St. Elizabeth Allspice Dram,1 1/2 ounces rhum agricole vieux (such as Duqesne Eleve Sous Bois or J.M. Gold),1/2 ounce blended age rum (such as Appleton Estate Reserve or Real McCoy 5-Year),1 dash Angostura bitters,"3 maraschino cherries, for serving","1 pineapple chunk, for serving",,
The Mezcal Sunset,1/2 cup pomegranate juice,1/2 cup sugar,1 ounce mezcal,1 ounce dry sparkling white wine,"2 ounces orange juice, preferably fresh squeezed and strained",,,,,,,,,
Whiskey Sour,2 or 3 ounces whiskey,2 tablespoons lemon juice,1/2 or 1 teaspoon superfine sugar,3 or 4 ice cubes,1 orange or lemon slice or peel,Maraschino cherry,,,,,,,,
Siesta,2 ounces tequila blanco,3/4 ounce fresh lime juice,3/4 ounce simple syrup,½ ounce Campari,½ ounce fresh grapefruit juice,Lime wheel (for serving),,,,,,,,
Mojito,2 tablespoons (1 ounce) fresh lime juice,2 heaping teaspoons superfine sugar,1 cup crushed ice,"12 fresh mint leaves, plus 5 small sprigs for garnish",1/4 cup (2 ounces) white rum,2 tablespoons (1 ounce) club soda,,,,,,,,
Margarita,1 lemon wedge,Coarse salt,2 ounces reposado or blanco (silver) tequila made from 100 percent agave,1 ounce Cointreau,1 ounce lime juice,,,,,,,,,
Kamikaze,2 ounces vodka,3/4 ounce fresh lime juice,3/4 ounce triple sec,,,,,,,,,,,
French 75,Crushed ice,1 1/2 ounces dry gin,1 tablespoon lemon juice,1 teaspoon superfine sugar,6 ounces chilled champagne,,,,,,,,,
Daiquiri,2 ounces light rum,1 1/2 tablespoons lime juice,1/2 teaspoons superfine sugar,3 or 4 ice cubes,,,,,,,,,,
Cosmopolitan,3 tablespoons (1 1/2 ounces) citrus vodka,"1 1/2 tablespoons (3/4 ounce) orange liqueur, such as Triple Sec",1/2 teaspoon freshly squeezed lime juice,1/2 teaspoon simple syrup,1 teaspoon cranberry juice,1 cup ice cubes,lemon or orange twist,,,,,,,
Rhubarb-Fennel Gin Cocktail,"1/4 fennel bulb, untrimmed, coarsely chopped",1 (375-ml) bottle dry vermouth (preferably Dolin),"1 large rhubarb stalk, thinly sliced, plus more, shaved, for serving",1/2 cup sugar,3/4 cup fresh lemon juice,3/4 cup gin (preferably Fords),,,,,,,,
The Spring Spritz,2 ounces Aperol,2 ounces sparkling white wine,1 ounce fresh grapefruit juice (preferably ruby red),Splash of soda water,1/2 grapefruit wheel (preferably ruby red: for garnish),,,,,,,,,
The Last Tango in Modena,1 cup St. Germain,1 cup egg whites,"1 ounce 25-year-old traditional balsamic vinegar, Preferably Leonardo e Robert’s gourmet blends",2 ounces Hendrick's gin,St. Germain Foam,"Slice of fresh strawberry, for garnish",,,,,,,,
Sparkling Lemon Cocktail,"2 Meyer or regular lemons, thinly sliced into rounds, seeds removed",8 sugar cubes,1 1/2 teaspoons Angostura bitters,"2 (750-ml) bottles dry Prosecco or other sparkling wine, chilled",,,,,,,,,,
The Rattlesnake,1/2 cup sugar,"4 large egg whites (see Cooks' Note), separated individually",8 ounces rye whiskey,4 ounces fresh lemon juice,Pernod or absinthe (for serving),,,,,,,,,
The Winterized Penicillin,"1 (6"") piece fresh ginger, unpeeled, thinly sliced",3/4 cup honey,2 ounces blended scotch,1 ounce fresh grapefruit juice,1/2 ounce single malt scotch (such as Laphroaig),,,,,,,,,
Paper Plane Cocktail,1 1/2 ounces amaro (preferably Nonino),1 1/2 ounces Aperol,1 1/2 ounces bourbon,"1 1/2 ounces fresh lemon juice, strained",,,,,,,,,,
The Maple-Ginger Hot Toddy,2 bags ginger tea,1 1/2 ounces maple-flavored bourbon (such as Knob Creek Smoked Maple),1 tablespoon plus 1 teaspoon fresh lemon juice,1 teaspoon maple syrup,Lemon peel (for garnish),,,,,,,,,
