,0,1,2,3,4,5,6,7,8,9,10,11,12,13
Negroni Punch,"4 cups assorted fresh fruit (such as berries, pitted cherries, and pitted sliced apricots and peaches)",2 to 4 tablespoons sugar (optional),1 cup Campari,1 cup sweet vermouth,1 cup gin,2 750-ml bottles chilled Prosecco,Ice cubes,,,,,,,
Mint Julep,6 fresh mint leaves plus 1 mint sprig for garnish,"1 teaspoon superfine sugar, or to taste",2 teaspoons water,crushed ice,1 1/2 ounces (1 jigger) bourbon,,,,,,,,,
Celebration Fizz,1/4 cup halved seedless white grapes,1 1/2 ounces mandarin vodka,1/4 cup white grape juice,6 ounces chilled Champagne,,,,,,,,,,
Champagne Punch,1 cup Triple Sec,1 cup brandy,1/2 cup Chambord,2 cups unsweetened pineapple juice,1 quart chilled ginger ale,2 chilled 750-ml. bottles dry champagne,,,,,,,,
Ginger Champagne Cocktail,1/2 cup chopped fresh ginger,2/3 cup plus 2 tablespoons sugar,1/4 teaspoon Chinese five-spice powder,3 tablespoons chopped crystallized ginger,8 whole star anise,1 bottle (750 ml) Champagne or sparkling wine,,,,,,,,
Gin Rickeys,3 ounces (6 tablespoons) gin,2 tablespoons fresh lime juice,6 to 8 oz chilled club soda or seltzer,Garnish: lime wedges,,,,,,,,,,
Perfect Bourbon Manhattans,4 ounces (1/2 cup) bourbon,1 ounce (2 tablespoons) sweet vermouth,1 ounce (2 tablespoons) dry vermouth,2 dashes Angostura bitters,Garnish: maraschino cherries,,,,,,,,,
Sparkling Ginger Cocktails,3/4 cup water,1/2 cup sliced fresh ginger (2 ounces),"3/4 cup sugar, divided",1 tablespoon finely chopped crystallized ginger,2 lemon wedges,2 (750-ml) bottles chilled Prosecco,,,,,,,,
Bourbon Punch with Pink Grapefruit and Mint,1/3 cup water,1/3 cup sugar,"15 fresh mint sprigs, divided",4 cups strained fresh pink grapefruit juice,2 1/2 cups bourbon,12 dashes angostura bitters,1 cup club soda,1 ice block,,,,,,
Pineapple-Gin Punch,1 cup water,1 cup sugar,1 tablespoon finely grated lime peel,2 cups pineapple juice,2 cups (or more) gin,2 cups club soda,3 1/2 tablespoons fresh lime juice,1/8 teaspoon orange bitters or angostura bitters,"1 large pineapple, peeled, cored, cut into 1/3-inch cubes",1 ice block,,,,
Flaming Brandy Punch,1 1/4 cups water,1 1/4 cups (packed) dark brown sugar,"2 cinnamon sticks, broken in half",4 whole cloves,1 4-inch-long strip orange peel,2 750-ml bottles dry red wine,1 cup fresh orange juice,1/2 cup fresh lemon juice,4 cups brandy,1 whole nutmeg,,,,
Green Tea and Citrus Whiskey Punch,8 cups water,6 green tea bags,1 cup sugar,1 750-ml bottle cava,2 cups Scotch,2 cups Irish whiskey,2 cups dry fino Sherry,2 cups fresh orange juice,3 tablespoons fresh lemon juice,1 ice block,,,,
Pomegranate-Champagne Punch,1/2 cup water,1/2 cup sugar,2 750-ml bottles chilled brut Champagne,1 1/2 cups white rum,1 1/4 cups pomegranate juice,"1 large lemon, thinly sliced",Pomegranate seeds,Fresh mint leaves,1 ice block,,,,,
Amaretto-Cranberry Kiss,2 cups cranberry juice cocktail,1 cup vodka,1/2 cup amaretto,3 tablespoons fresh orange juice,Ice cubes,"Clementines, peeled, separated into segments",,,,,,,,
Apple Soju Cocktails,1 Pink Lady or Granny Smith apple,2 cups soju or sake,5 cups chilled tonic water (40 fluid ounces),8 lime wedges,Equipment: an adjustable-blade slicer fitted with 1/4-inch julienne blade,,,,,,,,,
Calvados Sidecars,1 lemon wedge,Granulated sugar for coating rims of glasses,1 1/2 ounces (3 tablespoons) Calvados,1/2 ounce (1 tablespoon) orange liqueur such as Cointreau,1 tablespoon fresh lemon juice,Equipment: a cocktail shaker with strainer,Garnish: lemon twists,,,,,,,
Pear Brandy Cocktails,6 sugar cubes,6 teaspoons pear brandy,1 chilled 750-ml bottle Prosecco,,,,,,,,,,,
Pineapple Rum Cocktails,32 ounces (1 quart) chilled pineapple juice (preferably from a carton),1 cup mint leaves,2 tablespoons sugar,1/4 cup fresh lime juice,12 ounces (1 1/2 cups) gold rum,Garnish: mint sprigs; lime wedges,,,,,,,,
Tolstoi Stoli Bloody Mary,"2 1/2 pounds ripe Tolstoi tomatoes or other red juicy tomatoes (about 8 medium), cored, seeded, chopped",1/4 cup (packed) torn fresh basil leaves,1 teaspoon Worcestershire sauce,1 teaspoon (scant) hot pepper sauce,1/2 teaspoon fleur de sel or coarse kosher salt,1/4 teaspoon ground black pepper,6 tablespoons vodka (preferably Stolichnaya),Finely chopped small celery leaves plus 6 small whole leaves for garnish,,,,,,
Spring-Onion Cocktail,7 fresh Italian parsley sprigs,"3 tablespoons Sarticious, Tanqueray No. Ten, or Martin Miller's Gin",8 very thin slices green onion tops,1 1/2 tablespoons fresh lemon juice,1 tablespoon white verjus or white grape juice,1 tablespoon Simple Syrup,2 teaspoons pickling liquid reserved from <Pickled Pearl Onions,1 cup ice cubes,5 Pickled Pearl Onions,,,,,
Basil Vodka Gimlets,1 cup basil lemon syrup,3/4 cup vodka,3/4 cup fresh lemon juice,1 cup ice cubes,Garnish: fresh basil sprigs (preferably lemon basil); lemon zest strips,lemon zest strips,,,,,,,,
Watermelon-Cucumber Margarita,1 1/2 cups 1-inch chunks rindless watermelon,6 (1/8-inch-thick) slices English hothouse cucumber,15 large fresh mint leaves,1/2 cup 100% blue agave silver tequila,1/4 cup fresh lime juice,3 tablespoons Simple Syrup,1 tablespoon Cointreau or other orange liqueur,"2 cups ice cubes, divided","2 small watermelon triangles, each skewered with 1 cucumber round (for garnish)",2 fresh mint sprigs (for garnish),,,,
Pineapple-Chile Margarita,8 (3/4- to 1-inch) chunks peeled pineapple,4 slices red jalapeño chile with seeds,1/2 cup 100% blue agave silver tequila,3 tablespoons fresh lime juice,3 tablespoons Simple Syrup,2 tablespoons Cointreau or other orange liqueur,"2 cups ice cubes, divided",,,,,,,
Mango-Cilantro Margarita,"1/2 small mango, pitted, peeled, chopped",1/4 cup fresh cilantro leaves,1/2 cup 100% blue agave silver tequila,3 tablespoons fresh lime juice,3 tablespoons Simple Syrup,1 tablespoon Cointreau or other orange liqueur,"2 cups ice cubes, divided",Fresh cilantro sprigs (for garnish),,,,,,
Blackberry-Thyme Margarita,"16 large fresh blackberries, divided","4 small fresh thyme sprigs, divided",6 tablespoons 100% blue agave silver tequila,1/4 cup Simple Syrupepi:recipelink</epi:recipelink>,3 tablespoons fresh lime juice,1 tablespoon Cointreau or other orange liqueur,"2 cups ice cubes, divided",1/4 cup chilled sparkling wine,,,,,,
Tres Agaves's Margarita,1/2 ounce agave nectar,1/2 water,"2 ounces tequila made from 100 percent agave, such as Patron, Don Julio, and Corazón",1 ounce freshly squeezed lime juice,,,,,,,,,,
Perfect Manhattan,2 ounces rye and bourbon whiskey,1/2 ounce sweet vermouth,1/2 ounce dry vermouth,2 dashes Angostura or orange bitters,Maraschino cherry or small piece lemon peel for garnish,,,,,,,,,
Dry Manhattan,2 1/2 ounces blended whiskey,3/4 ounces dry vermouth,Dash Angostura bitters,3 or 4 ice cubes,Lemon peel or olive,,,,,,,,,
Fifty-Fifty,Cracked ice,"1 1/2 ounces London dry gin, such as Tanqueray","1 1/2 ounces dry vermouth, preferably Noilly Prat",2 dashes orange bitters,Small piece lemon peel,,,,,,,,,
Classic Dry Martini,Cracked ice,"2 1/2 ounces London dry gin, such as Beefeater","1/2 ounce dry vermouth, preferably Noilly Prat",Green olive for garnish,,,,,,,,,,
Original Martini,1 1/2 ounces London dry gin,"1 1/2 ounces sweet vermouth, preferably Noilly Prat",1 dash orange bitters,1 teaspoon simple syrup,Small piece lemon peel,Green olive for garnish,,,,,,,,
Irish Manhattan,1/4 cup Irish whiskey,1 1/2 tablespoons sweet vermouth,"1 maraschino cherry, for garnish",,,,,,,,,,,
Berry-Brandy Toddies with Raspberries and Cream,1/4 cup brandy,2 tablespoons Chambord or other raspberry liqueur,,,,,,,,,,,,
Hot Orange Mocha with Grand Marnier Whipped Cream,1/2 cup chilled whipping cream,"2 tablespoons brown sugar, divided",1 tablespoon Grand Marnier or other orange liqueur,2 oranges,4 cups whole milk,"6 ounces bittersweet (not unsweetened) chocolate, chopped",3 tablespoons instant espresso powder,1 tablespoon unsweetened cocoa powder,Ground coffee beans (optional),,,,,
Cranberry Gin and Tonics,2 (12-ounce) bags fresh cranberries,1 cup sugar,1/2 cup water,3 1/3 cups chilled tonic water,1 1/4 cups gin,3 tablespoons plus 1 teaspoon fresh lime juice,,,,,,,,
Blood-Orange Mimosas,Two 750-ml bottles chilled sparkling wine,3 cups chilled blood-orange juice (from about 10 blood oranges*),1/4 cup grenadine,*available seasonally at specialty produce markets,,,,,,,,,,
Blue Ginger Gimlet,27 ounces (3 1/4 cups plus 2 tablespoons) sweet-and-sour mix *,6 1/2 ounces (3/4 cup plus 1 tablespoon) freshly squeezed lime juice (from about 6 medium limes),26 1/2 ounces (3/4 cup plus 1 tablespoon) ginger syrup,"40 ounces (5 cups) vodka, well chilled","Lime wedges, for garnish (from about 3 medium limes)","*Sweet-and-sour mix, a combination of lemon or lime juice and sugar syrup, is used to make cocktails such as margaritas and pisco sours. Homemade mix is easy to make and produces the best results, but premade mix is available at liquor stores.",,,,,,,,
The Pom and Tonic,Ice,1 1/2 ounces Charbay pomegranate vodka,Tonic water,1 fresh rosemary sprig,,,,,,,,,,
Room 4 Dessert Sour,2 ounces good-quality whiskey,1 ounces fresh lime juice,1 teaspoon superfine sugar,1/2 egg white,"1 tablespoon, plus 1 teaspoon Chambord",,,,,,,,,
Bubbly Mary,8 ounces tomato juice,1 teaspoon Worcestershire sauce,1 teaspoon fresh lemon juice,"Tabasco sauce, to taste","Drained bottled horseradish, to taste","Pepper, to taste","Salt, to taste","Oyster liquor, reserved from one dozen oysters (optional)",Good-quality Champagne,,,,,
Madeira Martinez,"12 ounces Madeira, preferably Blandy's 5-Year-Old Bual",6 ounces Beefeater gin,3 teaspoons honey syrup,"3 teaspoons pomegranate molasses, preferably Al Wadi",3 dashes Angostura Bitters,"Rosemary sprigs, for garnish",,,,,,,,
Spice,"1 1/2 ounces spiced rum, preferably Sailor Jerry (www.sailorjerry.com/rum)",1 ounce pear juice or nectar,3/4 ounce fresh lime juice,3/4 ounce simple syrup,Angostura Bitters,Clove nutmeg,,,,,,,,
Raspberry Womanhattan,"1 ounce bourbon, preferably Knob Creek","1 ounce raspberry vodka, preferably Hangar One Fraser River",1/2 ounce sweet vermouth,Angostura Bitters,"Orange bitters, preferably Regan's No. 6","Three raspberries, for garnish (optional)",,,,,,,,
Oregon Pear 75,"1 ounce pear brandy, preferably Clear Creek (www.clearcreekdistillery.com)",1/2 ounce fresh lemon juice,1/2 ounce simple syrup,4 ounces brut Champagne,Fee Brothers Peach Bitters (optional),"Slice of dried pear, for garnish (optional)",,,,,,,,
Pepper Martinis,"2 cups Plymouth gin, divided","4 tablespoons dry Sherry (such as La Ina or Tio Pepe), divided","8 teaspoons pepper jelly, divided","4 teaspoons orange bitters (such as Regans' No. 6), divided",Ice cubes,8 Tomolives*,*Tiny pickled green tomatoes; available at specialty foods stores and online from oldsouth.com and igourmet,,,,,,,
Laddie's Sub-Bourbon,1 1/2 ounces bourbon,1 dash orange curaçao,5 drops angostura bitters,club soda,,,,,,,,,,
Ginger and Lychee Caipirinhas,"8 tablespoons ginger syrup , divided","16 drained canned lychees in syrup (8 tablespoons syrup reserved), divided","4 limes, each cut into 8 wedges, divided","16 teaspoons Velvet Falernum liqueur,* divided","2 cups cachaça,* divided","8 cups ice cubes, divided","*Velvet Falernum, a liqueur from Barbados, and cachaça, a Brazilian liquor made from sugarcane juice, are available at some liquor stores.",,,,,,,
The Gold Rush,1/2 cup vodka,1/4 cup thawed frozen apple juice concentrate,4 teaspoons Calvados,4 teaspoons fresh lemon juice,,,,,,,,,,
Concord Grape and Champagne Cocktails,2 large oranges,1/2 cup sugar,1/4 teaspoon ground cinnamon,"3 cups vodka (preferably distilled from grapes, such as Cîroc)","2 cups Concord grapes or seedless red grapes, plus 18 for garnish",1 1/4 cups Concord grape juice,1 750-ml bottle chilled Champagne,,,,,,,
Jack Rose,2 ounces applejack,3/4 ounce fresh lemon juice,1/2 ounce homemade grenadine (3/4 ounce if using bonded applejack),"Thinly sliced apple, for garnish (optional)",,,,,,,,,,
Dark and Stormy,2 ounces Gosling's or Myers's dark rum,5 ounces ginger beer,Lime wedge,,,,,,,,,,,
Corpse Reviver,1 ounce gin,1/2 ounce Cointreau,1/2 ounce Lillet Blonde,3/4 ounce fresh lemon juice,Dash of Absente,,,,,,,,,
"Ginger, Gin, and Juice",3 ounces (6 tablespoons) chilled ginger beer,1 1/2 ounces (3 tablespoons) gin,1 tablespoon fresh orange juice,1 teaspoon fresh lemon juice,1/2 teaspoon Grand Marnier or other orange-flavored liqueur,Garnish: an orange slice,,,,,,,,
Easterner,2 ounces (1/4 cup) fresh grapefruit juice,1 1/2 ounces (3 tablespoons) rye whiskey,1/2 teaspoon pure maple syrup,1 1/2 teaspoons grenadine,a cocktail shaker with cocktail strainer,,,,,,,,,
Aquavit Bloody Marys,"1 cup aquavit, chilled","1 quart tomato or tomato-vegetable juice such as V8, chilled",3 tablespoons fresh lemon juice,2 tablespoons Worcestershire sauce,2 tablespoons drained bottled horseradish,1/2 teaspoon hot sauce such as Tabasco,1/4 teaspoon black pepper,Garnish: lemon slices; small celery ribs,,,,,,
Bitter Crush,Crushed ice,2 ounces (1/4 cup) Aperol (bitter orange aperitif),1 1/2 ounces (3 tablespoons) white rum,1 teaspoon fresh lemon juice,2 dashes orange bitters,1/2 to 1 teaspoon sugar,Garnish: 1 (1 1/2-inch-long) lemon twist,,,,,,,
Singapore Slings,8 ounces (1 cup) distilled gin,8 ounces (1 cup) Benedictine liqueur,3 ounces (1/3 cup) kirsch or other cherry-flavored brandy,1 1/2 ounces (3 tablespoons) grenadine,1/2 cup superfine granulated sugar,"1 liter club soda, chilled",Garnish: maraschino cherries,,,,,,,
Tomato Water Bloody Mary,"4 large beefsteak tomatoes, quartered","1/2 serrano chile, roughly chopped","1/4 red onion, roughly chopped","3-inch piece of lemongrass, tough outer leaves removed and roughly chopped",small pinch sugar,large pinch salt,1/2 lime,1/2 lemon,1/2 orange,2 18-inch-square pieces cheesecloth,Ice,16 ounces tomato water,6 ounces Grey Goose Le Citron (or any citrus vodka),4 cherry tomatoes for garnish
Mike Romanoff,2 ounces vodka,1 teaspoon Cointreau,1 teaspoon apricot liqueur,1 tablespoon plus 1 teaspoon fresh lime juice,,,,,,,,,,
Tom and Jerry,"2 large eggs, separated",2 1/2 tablespoons sugar,1 cup plus 1 tablespoon Jamaican rum,1 1/2 teaspoons vanilla extract,Small pinch ground allspice,Small pinch ground cloves,Large pinch ground cinnamon,2 2/3 cups whole milk,1 teaspoon freshly grated whole nutmeg or ground nutmeg,,,,,
Apricot Pear Cordials,"1 1/2 pounds rock candy (see tip, below)",1 1/2 pounds dried pears and/or apricots,2 liters vodka,,,,,,,,,,,
The Sidecar,3/4 ounces Cointreau,3/4 ounces brandy,3/4 ounces lemon juice,,,,,,,,,,,
Gibson,2 1/2 ounces gin,Dash dry vermouth,3 or 4 ice cubes,Pickled pearl onion,,,,,,,,,,
Clicquot Rico,1 1/2 ounces Ron Rico rum,1 1/2 ounces pineapple juice,2 ounces Veuve Clicquot Champagne,"Fresh pineapple wedge, for garnish",,,,,,,,,,
Cranberry and Vanilla-Bean Mimosas,"Cranberry juice, chilled",Ice cubes,1 vanilla bean,Sparkling wine,Garnish (optional): sugar and halved vanilla beans,,,,,,,,,
Champagne Cocktails,Ice cubes,2 teaspoons amaretto,"Champagne, Prosecco, or Cava",,,,,,,,,,,
Spiced Cherry Cider with Kirsch Cream,4 cups cherry cider or cherry juice,"2 cinnamon sticks, broken in half",15 whole cloves,"2 tablespoons sugar, divided",1/3 cup chilled whipping cream,5 teaspoons kirsch (clear cherry brandy),1 2-ounce piece semisweet chocolate (optional),,,,,,,
Moscow Mule,2 or 3 ice cubes,3 ounces vodka,Ginger beer,1 teaspoon lime juice,Slice of lime,,,,,,,,,
Plymouth Rock and Roll,1 rosemary sprig,1 thyme sprig,Dash of dry vermouth,1/4 cup Plymouth gin,"Garnish: green Martini olive, rosemary sprig",,,,,,,,,
Cranberry Mojitos,"1 bunch fresh mint, trimmed (about 1 cup)",1/2 cup sugar,1 3/4 cups light rum,1 1/4 cups fresh lime juice,"3/4 cup frozen cranberry juice cocktail concentrate, thawed","2 10-ounce bottles sparkling water, chilled",,,,,,,,
"Cranberry, Gingerly",1/4 cup vodka,2 tablespoons ginger beer,1 1/2 tablespoons thawed cranberry juice cocktail concentrate,1 1/2 teaspoons lemon juice,1/8 teaspoon ground ginger,,,,,,,,,
Blood Orange French 75,3 blood oranges (about 1 pound),1 1/2 cups gin,2 tablespoons sugar,1/2 teaspoon angostura bitters,2 750-ml bottles chilled Champagne,,,,,,,,,
The Left Bank,1 ounce orange-flavored vodka (2 1/2 cups),3/4 ounce red wine (1 3/4 cups plus 2 tablespoons),1/2 ounce triple sec (1 1/4 cups),1/2 ounce orange juice (1 1/4 cups),1/4 ounce fresh lime juice (1/2 cup plus 2 tablespoons),,,,,,,,,
Ti Punch,1 lime,1 teaspoon sugar cane syrup (or 2 teaspoons raw sugar),6 ounces white (un-aged) rhum agricole (see note),Crushed ice,,,,,,,,,,
Fever Cocktails,3 oz (6 tablespoons) gin,1 oz (2 tablespoons) dry vermouth,1 teaspoon Dubonnet Rouge,1/2 teaspoon anisette or other anise-flavored liqueur,Garnish: lemon twists,,,,,,,,,
Frozen Watermelon Daiquiris,"4 strawberries, halved, plus 1/2 cup sliced strawberries","1 kiwi, peeled, cut into 8 wedges",4 4-inch-long lemongrass skewers,5 tablespoons light rum,3 tablespoons sour watermelon liqueur (such as Pucker)*,2 tablespoons sugar,2 tablespoons fresh lime juice,"3 cups 3/4-inch cubes seedless watermelon, frozen at least 1 hour",,,,,,
Jealous Marys,"2 large seedless cucumbers (usually plastic-wrapped; 2 lb total), peeled and coarsely chopped",1/2 cup chopped celery,1/3 cup fresh lemon juice,1 tablespoon drained bottled horseradish,1 teaspoon salt,1/2 teaspoon Worcestershire sauce,1/4 teaspoon black pepper,1/8 teaspoon green Tabasco sauce,3/4 cup vodka (6 fluid ounces),"Garnish: 6 small pale inner celery ribs with leaves, halved lengthwise if desired",,,,
Rosé Royale,4 candied rose petals,1 1/2 teaspoons Shakers Rose Vodka,"2/3 cup rosé Champagne, chilled",,,,,,,,,,,
Bull Shot,1/2 teaspoon Worcestershire sauce,1/8 teaspoon celery salt,Ice cubes,1/4 cup vodka,3/4 cup chilled double-rich double-strength canned beef broth,Lime wedge,,,,,,,,
Anno 1960,3 tablespoons vodka,1 1/2 tablespoons dry vermouth,1 1/2 tablespoons Campari,,,,,,,,,,,
Citrus Champagne Cocktail,2 teaspoons Mandarine Napoléon (tangerine) liqueur or Cointreau,"6 oz demi-sec Champagne or sparkling wine, chilled",Garnish: thin slices of kumquat,,,,,,,,,,,
Pomegranate-Ginger Champagne Cocktail,1 cup pomegranate juice,1 tablespoon sugar,1 1/4-inch-thick slice fresh ginger,4 tablespoons fresh orange juice,1 teaspoon Cointreau or other orange liqueur,"1 750-ml bottle brut Champagne, well chilled",,,,,,,,
Kumquat Champagne Cocktail,1 1/4 cups thinly sliced kumquats,1/3 cup Grand Marnier or other orange liqueur,1/4 cup sugar,"1 750-ml bottle brut Champagne, well chilled",,,,,,,,,,
Pear Champagne Cocktail,1 teaspoon Poire William or other pear eau-de-vie,"6 oz demi-sec Champagne or sparkling wine, chilled",Garnish: thin slices of pear,,,,,,,,,,,
Screwdriver,1 1/2 ounces vodka,3 ounces orange juice,3 or 4 ice cubes,Dash Angostura bitters,,,,,,,,,,
Vermouth Cooler,3 or 4 ice cubes,2 ounces dry vermouth,2 tablespoons rasberry syrup,Club soda,Slice of orange,,,,,,,,,
Dinah,1 1/2 ounces whiskey,1 tablespoon lemon juice,1/2 teaspoon superfine sugar,2 or 3 sprigs fresh mint,1/2 cup crushed ice,,,,,,,,,
Ginger Stinger or White Way,1 or 1 1/2 ounces gin,1/2 ounce white crème de menthe,1/2 cup crushed ice,,,,,,,,,,,
Fair and Warmer,1 1/2 ounces light rum,3/4 ounce sweet vermouth,2 dashes curaçao,3 or 4 ice cubes,Twist lemon peel,,,,,,,,,
Damn the Weather I,1 ounce gin,1/2 ounce sweet vermouth,1 teaspoon curaçao,1/2 ounce orange juice,3 or 4 ice cubes,,,,,,,,,
Pink California Sunshine,4 ounces chilled pink champagne,4 ounces chilled orange juice,Dash crème de cassis,,,,,,,,,,,
Gin Buck,3 or 4 ice cubes,2 tablespoons lemon or lime juice,Large twist lemon or lime peel,2-3 ounces gin,Ginger ale,,,,,,,,,
Sweet Martini,1 1/2 ounces gin,1/2 ounce dry vermouth,1/2 ounce sweet vermouth,3 or 4 ice cubes,1 olive,,,,,,,,,
Mexican Grasshopper,1 ounce green crème de menthe,1 ounce Kahlúa,1 ounce light cream,1/2 cup crushed ice,,,,,,,,,,
Dry Bronx,1 1/2 ounces gin,1/2 ounce dry vermouth,2 tablespoons orange juice,3 or 4 ice cubes,,,,,,,,,,
Fig Leaf,1 1/2 ounces sweet vermouth,1 ounce light rum,1 1/2 tablespoons lime juice,Dash Angostura bitters,2 or 3 ice cubes,,,,,,,,,
Maiden's Blush No.ii,1 1/2 ounces gin,3/4 ounce Pernod,1 teaspoon grenadine,3 or 4 ice cubes,,,,,,,,,,
Cider Bishop,1 large orange,20 cloves (approx.),2 teaspoons honey,1 quart hard cider,6 ounces brandy or applejack,,,,,,,,,
Roslyn,1 1/2 ounces gin,1/2 ounce dry vermouth,2 dashes grenadine,3 or 4 ice cubes,Twist of lemon peel,,,,,,,,,
Queen Elizabeth,1 1/2 ounces gin,1/2 ounce dry vermouth,1/4 ounce Bénédictine,3 or 4 ice cubes,,,,,,,,,,
Liberty,1 1/2 ounces applejack,3/4 ounce light rum,Dash sugar syrup,3 or 4 ice cubes,,,,,,,,,,
Floradora,1 cup crushed ice,2 ounces gin,3 tablespoons lime juice,1/2 teaspoon superfine sugar,1 tablespoon grenadine or rasberry syrup,2 ounces club soda or ginger ale,,,,,,,,
Morning Glory,1 ounce blended or Scotch whiskey,1 ounce brandy,1 dash Pernod,2 dashes curaçao,2 dashes Angostura bitters,3 dashes sugar syrup,1 or 2 ice cubes,Chilled club soda,Superfine sugar,,,,,
Hawaiian,2 ounces gin,1 ounce curaçao,1 ounce orange juice,3 or 4 ice cubes,,,,,,,,,,
Brandy Crusta,Cut lemon,Superfine sugar,RInd of a lemon or orange cut in a spiral,Maraschino cherry,3 or 4 ice cubes,Dash Angostura bitters,1 teaspoon maraschino liqueur,1 teaspoon lemon juice,"1 1/2 to 3 ounces brandy, to taste",Slice of orange (optional),,,,
Du Barry,1 1/2 ounces gin,1/2 ounce dry vermouth,2 dashes Angostura bitters,2 dashes Pernod,3 or 4 ice cubes,Thin orange slice,,,,,,,,
Queen's Peg,1 ice cube,3/4 ounce dry gin,6 ounces chilled champagne,,,,,,,,,,,
Recipe: Bamboo,1 1/2 ounces sherry,1 1/2 ounces sweet vermouth,3 or 4 ice cubes,Dash Angostura bitters,,,,,,,,,,
Bee's Knees,1 1/2 ounces gin,1 teaspoon honey,1 tablespoon lemon juice,3 or 4 ice cubes,,,,,,,,,,
Adonis,2 ounces dry sherry,1 ounce sweet vermouth,1 dash orange bitters,3 or 4 ice cubes,,,,,,,,,,
Tipperary,3/4 ounces Irish whiskey,3/4 ounce Chartreuse,3/4 ounce sweet vermouth,3 or 4 ice cubes,,,,,,,,,,
Diana,Crushed ice,2 ounces white crème de menthe,1/2 ounce brandy,,,,,,,,,,,
Archbishop,1 large orange,20 cloves (approx.),2 tablespoons sugar (brown if you prefer),1 quart red Bordeaux,6 ounces brandy,,,,,,,,,
Blenton,1 1/2 ounces gin,1/2 ounce dry vermouth,2 dashes Angostura bitters,3 or 4 ice cubes,Lemon peel,Maraschino cherry,,,,,,,,
Savoy Hotel Rickey,1 ice cube,1/2 lime or 1/4 lemon,1 1/2 ounces gin,Chilled club soda,4 dashes grenadine,,,,,,,,,
Hugo Rickey,1 ice cube,1/2 lime or 1/4 lemon,1 1/2 ounces gin,Chilled club soda,2 dashes grenadine,1 slice pineapple,,,,,,,,
Cream Fizz,3 ounces gin,1 tablespoon superfine sugar,2 tablespoons lemon juice,1 tablespoon lime juice,2 teaspoons heavy cream,3 or 4 ice cubes,Club soda,,,,,,,
Holland Gin Fizz,3 ounces Holland gin,1 tablespoon superfine sugar,2 tablespoons lemon juice,1 tablespoon lime juice,3 or 4 ice cubes,Club soda,,,,,,,,
Great Secret,1 1/2 ounces gin,1/2 ounce Lillet,Dash Angostura bitters,3 or 4 ice cubes,Twist orange peel,,,,,,,,,
Zenith,3 or 4 ice cubes,2 to 3 ounces gin,1 tablespoon pineapple juice,Chilled club soda,Pineapple stick,,,,,,,,,
Highland Cooler,3 or 4 ice cubes,2 to 3 ounces Scotch whiskey,2 dashes Angostura bitters,2 tablespoons lemon juice,1 teaspoon superfine sugar,Ginger ale,,,,,,,,
Champagne Cobbler,Crushed ice,1/2 teaspoon lemon juice,1/2 teaspoon curaçao,Thin slice orange,Small pineapple stick,4 ounces chilled champagne,,,,,,,,
Preakness,1 1/2 ounces whiskey,3/4 ounce sweet vermouth,1/2 teaspoon Bénédictine,Dash Angostura bitters,3 or 4 ice cubes,Twist lemon peel,,,,,,,,
Peach Daiquiri,2 ounces light rum,"1/2 peach, fresh, peeled or canned",1 tablespoon lime juice,1 teaspoon superfine sugar,1 cup crushed ice,,,,,,,,,
Passion Daiquiri,1 1/2 ounces light rum,1/2 ounce passion-fruit juice,2 tablespoons lime juice,1 teaspoon superfine sugar,3 or 4 ice cubes,,,,,,,,,
Vodka Grasshopper,3/4 ounce green crème de menthe,3/4 ounce white crème de cacao,3/4 ounce vodka,3 or 4 ice cubes,,,,,,,,,,
Alexander Young,1/2 ounce pineapple juice,1/2 ounce orange juice,1/2 ounce lemon juice,1 1/2 ounces bourbon,Dash grenadine,Dash Angostura bitters,1/2 cup crushed ice,,,,,,,
Three-Olive Martinis,"36 pitted large brine-cured green olives, chilled",12 short swizzle sticks or toothpicks,6 cups ice-cold vodka,Dry vermouth,,,,,,,,,,
Betsy Ross,1 1/2 ounces brandy,1 1/2 ounces port,1 dash curaçao,2 dashes Angostura bitters,1 egg yolk,1 teaspoon sugar,3 or 4 ice cubes,nutmeg,,,,,,
Margarita I,Cut lime,Salt,2 ounces tequila,1/2 ounce Cointreau or Triple Sec,1 tablespoon lime juice,3 or 4 ice cubes,,,,,,,,
Stinger,1 or 1 1/2 ounces brandy,1 or 1 1/2 ounces white crème de menthe,1/2 cup crushed ice,,,,,,,,,,,
Salty Dog,4 ounces grapefruit juice,2 ounces vodka,Cut lemon,Salt,2 or 3 ice cubes,,,,,,,,,
Bullshot,2 or 3 ice cubes,1 1/2 or 2 ounces gin,3 ounces chilled beef bouillon,,,,,,,,,,,
Brandy Flip,"Any of the fruit brandies (such as cherry or blackberry); rum, sherry or whiskey may be substituted for the brandy in this recipe.",3 ounces brandy,1 whole egg,1 teaspoon superfine sugar,2 teaspoons heavy cream (optional),1/2 cup crushed ice,Nutmeg,,,,,,,
After Dinner,1 1/2 ounces apricot brandy,1 1/2 ounces curaçao,3 tablespoons lime juice,3 or 4 ice cubes,Twist of lime peel,,,,,,,,,
New York,2 ounces rye whiskey,1/2 teaspoon superfine sugar,Dash grenadine,1 1/2 tablespoons lime juice,3 or 4 ice cubes,Twist orange peel,,,,,,,,
Roman Snowball,Crushed ice,2 ounces Sambuca,3 coffee beans,,,,,,,,,,,
