,0,1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,3,4,5,6,7,8,9,Unnamed: 0
85,1/4 cup good quality vodka,2 fluid ounces peach schnapps,,,,,,,,,,,1 cup ice cubes,,,,,2 fluid ounces champagne,3 fresh raspberries for garnish,,,,,,['Bellini Meanie Martini']
86,2 liters ginger ale,"1 (750 milliliter) bottle champagne, chilled",,,,,,,,,,,1 quart lime sherbet,,,,,,,,,,,,['Anytime Punch']
87,1/2 cup brut Champagne,2 tablespoons bottled pomegranate juice,,,,,,,,,,,1 teaspoon pomegranate seeds (optional),,,,,,,,,,,,['Pomosa']
88,cracked ice,2 fluid ounces gin,,,,,,,,,,,1 teaspoon simple syrup,,,,,1/2 fluid ounce lemon juice,"5 fluid ounces brut champagne, chilled",1 slice lemon (optional),,,,,['French 75']
89,4 fluid ounces fresh orange juice,4 fluid ounces cranberry juice,,,,,,,,,,,2 fluid ounces apple juice,,,,,2 tablespoons pineapple juice,2 fluid ounces lemon-lime flavored carbonated beverage,2 fluid ounces champagne,1/4 cup sliced frozen strawberries,,,,['Juicy Fruit Punch with Champagne']
90,1/4 cup heavy whipping cream,1/4 cup milk,,,,,,,,,,,1/4 cup pumpkin puree,,,,,1/4 cup pumpkin spice coffee-flavored liqueur (such as Kahlua®),1/2 teaspoon pumpkin pie spice,8 cubes ice cubes,,,,,"[""Sarah's Frozen Pumpkin Spice Cocktail""]"
91,1 cup ice cubes,1 1/2 fluid ounces light rum,,,,,,,,,,,1 fluid ounce lime juice,,,,,1 fluid ounce triple sec,1 teaspoon white sugar,1 lime wedge (optional),"2 tablespoons white sugar, or as needed (optional)",,,,['Classic Daiquiri']
92,1 cup ice,5 strawberries,,,,,,,,,,,2 fluid ounces white rum,,,,,1 fluid ounce lime juice,1/2 fluid ounce triple sec,1/2 teaspoon confectioners' sugar,,,,,['Blended Strawberry Daiquiri']
93,1 fluid ounce light rum,1 fluid ounce blue Curacao liqueur,,,,,,,,,,,2 fluid ounces pineapple juice,,,,,1 fluid ounce cream of coconut,1 cup crushed ice,1 pineapple slice,1 maraschino cherry,,,,['Blue Hawaiian Cocktail']
94,3/4 fluid ounce creme de menthe,3/4 fluid ounce white creme de cacao,,,,,,,,,,,1/4 fluid ounce heavy cream,,,,,1 cup ice,,,,,,,['Grasshopper Cocktail']
